id,name,fullName,url,stargazers,watchers,contributors,releases,commits,created,forksCount,language,hasDownloads,hasIssues,hasPages,hasWiki,size 
4710920,dubbo,apache/dubbo,https://api.github.com/repos/apache/dubbo,30548,3269,270,21,4076,6/19/2012 7:56:02 AM +00:00,20062,Java,True,True,False,True,26204
11267509,glide,bumptech/glide,https://api.github.com/repos/bumptech/glide,27958,1065,104,34,2443,7/8/2013 10:52:33 PM +00:00,5112,Java,True,True,True,True,63698
20300177,guava,google/guava,https://api.github.com/repos/google/guava,35217,2461,217,27,5158,5/29/2014 4:23:17 PM +00:00,7877,Java,True,True,True,True,264331
22790488,java-design-patterns,iluwatar/java-design-patterns,https://api.github.com/repos/iluwatar/java-design-patterns,53686,3912,184,0,2380,8/9/2014 4:45:18 PM +00:00,17417,Java,True,True,False,True,20327
19148949,MPAndroidChart,PhilJay/MPAndroidChart,https://api.github.com/repos/PhilJay/MPAndroidChart,29465,1117,66,44,2020,4/25/2014 2:29:47 PM +00:00,7608,Java,True,True,False,True,21264
7508411,RxJava,ReactiveX/RxJava,https://api.github.com/repos/ReactiveX/RxJava,41425,2332,242,187,5639,1/8/2013 8:11:48 PM +00:00,6956,Java,True,True,True,True,103307
6296790,spring-boot,spring-projects/spring-boot,https://api.github.com/repos/spring-projects/spring-boot,44308,3349,382,43,24346,10/19/2012 3:02:57 PM +00:00,28135,Java,True,True,True,True,112740
1148753,spring-framework,spring-projects/spring-framework,https://api.github.com/repos/spring-projects/spring-framework,34312,3427,394,164,20133,12/8/2010 4:04:45 AM +00:00,22676,Java,True,True,True,True,143378
5152285,okhttp,square/okhttp,https://api.github.com/repos/square/okhttp,35378,1655,196,0,4358,7/23/2012 1:42:55 PM +00:00,7716,Java,True,True,True,True,30800
892275,retrofit,square/retrofit,https://api.github.com/repos/square/retrofit,34532,1607,130,27,1777,9/6/2010 9:39:43 PM +00:00,6370,Java,True,True,True,True,5053
12201538,aspnetboilerplate,aspnetboilerplate/aspnetboilerplate,https://api.github.com/repos/aspnetboilerplate/aspnetboilerplate,7778,818,136,191,6013,8/18/2013 8:45:08 PM +00:00,2955,C#,True,True,False,False,59514
11620669,CodeHub,CodeHubApp/CodeHub,https://api.github.com/repos/CodeHubApp/CodeHub,22384,6618,6,4,584,7/23/2013 10:19:57 PM +00:00,593,C#,True,True,True,True,75624
30092893,coreclr,dotnet/coreclr,https://api.github.com/repos/dotnet/coreclr,12293,998,1,83,1,1/30/2015 10:10:02 PM +00:00,2902,C#,True,True,False,True,331138
26295345,corefx,dotnet/corefx,https://api.github.com/repos/dotnet/corefx,17830,1549,1,83,1,11/6/2014 11:42:48 PM +00:00,5477,,True,True,False,False,235274
1327739,ILSpy,icsharpcode/ILSpy,https://api.github.com/repos/icsharpcode/ILSpy,9261,663,83,37,5532,2/4/2011 11:24:20 AM +00:00,1940,C#,True,True,True,True,34241
64713769,ScreenToGif,NickeManarin/ScreenToGif,https://api.github.com/repos/NickeManarin/ScreenToGif,9252,322,42,36,613,8/2/2016 1:28:59 AM +00:00,1073,C#,True,True,True,True,18012
49609581,PowerShell,PowerShell/PowerShell,https://api.github.com/repos/PowerShell/PowerShell,16904,1076,294,63,7720,1/13/2016 11:41:35 PM +00:00,2710,C#,True,True,False,False,60503
7600409,shadowsocks-windows,shadowsocks/shadowsocks-windows,https://api.github.com/repos/shadowsocks/shadowsocks-windows,45870,2530,64,43,1319,1/14/2013 7:54:16 AM +00:00,14842,C#,True,True,False,True,10055
13428264,ShareX,ShareX/ShareX,https://api.github.com/repos/ShareX/ShareX,11393,473,166,63,5857,10/8/2013 11:32:10 PM +00:00,1701,C#,True,True,False,False,49039
2087064,SignalR,SignalR/SignalR,https://api.github.com/repos/SignalR/SignalR,7929,724,80,30,4681,7/22/2011 3:52:19 AM +00:00,2215,C#,True,True,True,True,44190
4164482,django,django/django,https://api.github.com/repos/django/django,46052,2225,405,0,27727,4/28/2012 2:47:18 AM +00:00,19883,Python,True,False,False,False,193446
12888993,home-assistant,home-assistant/home-assistant,https://api.github.com/repos/home-assistant/home-assistant,30147,1139,412,489,23343,9/17/2013 7:29:48 AM +00:00,8796,Python,True,True,False,False,134304
3544424,httpie,jakubroztocil/httpie,https://api.github.com/repos/jakubroztocil/httpie,45135,1096,84,31,1137,2/25/2012 12:39:13 PM +00:00,2921,Python,True,True,False,False,5609
33015583,keras,keras-team/keras,https://api.github.com/repos/keras-team/keras,46087,2075,437,22,5342,3/28/2015 12:35:42 AM +00:00,17480,Python,True,True,False,True,13334
33614304,thefuck,nvbn/thefuck,https://api.github.com/repos/nvbn/thefuck,51052,816,139,14,1551,4/8/2015 3:08:04 PM +00:00,2560,Python,True,True,False,True,2791
596892,flask,pallets/flask,https://api.github.com/repos/pallets/flask,48088,2279,406,9,3799,4/6/2010 11:11:59 AM +00:00,13142,Python,True,True,False,False,7536
529502,scrapy,scrapy/scrapy,https://api.github.com/repos/scrapy/scrapy,35491,1833,342,11,7649,2/22/2010 2:01:14 AM +00:00,8226,Python,False,True,False,True,18144
51117837,models,tensorflow/models,https://api.github.com/repos/tensorflow/models,60479,2990,386,9,4095,2/5/2016 1:15:20 AM +00:00,38408,Python,True,True,False,True,524297
29290473,XX-Net,XX-net/XX-Net,https://api.github.com/repos/XX-net/XX-Net,29170,1802,66,272,2065,1/15/2015 9:35:51 AM +00:00,7780,Python,True,True,False,True,38931
